item_id,corpus,issue,status,pages,holding,source,next_action,id,year,source_url,verification_note,version
biulleten_sru_1975_24_single,Biulleten SRY,1975 no. 24,holdings_page_verified_with_variant,44 item field; 40 copy-row,Baylor/Keston; hectograph of manuscript,Toronto Samizdat item card,Clarify 44 vs 40 page variant by scan,,,,,
biulleten_sru_1975_27,Biulleten SRY,1975 no. 27,holdings_page_verified,44,Baylor/Keston; AS 2377 row without page-count,Toronto Samizdat item card,Acquire local scan/OCR; preserve AS 2377 copy note,,,,,
biulleten_sru_1979_61,Biulleten SRY,1979 no. 61,holdings_page_verified,26,Baylor/Keston; Western reproduction; photocopy of typescript,Toronto Samizdat item card,Acquire local scan/OCR/quote-card,,,,,
brat_1971_01,BRATSKII LISTOK,1971 no. 1,holdings_verified_no_page_count,,OSA AS 610; Baylor/Keston Folder SU/Ini11/10,Toronto Samizdat item card,Find page-count or acquire scan,,,,,
biulleten_sru_1979_62,Biulleten SRY,1979 no. 62,holdings_page_verified,62,"Research Centre for East European Studies, Bremen University; F.40 Feliks Perchenok (62); samizdat unknown",Toronto Samizdat item card,Acquire local scan/OCR; use Bremen/F.40 pointer for file request,,,,,
biulleten_sru_1979_64,Biulleten SRY,1979 no. 64,holdings_page_verified_with_duplicate_copy,42,Baylor/Keston two copy rows: Bulletin S 1979 1 of 3 №64 and №64a; both 42 pp.; photocopy of typescript,Toronto Samizdat item card,Acquire local scan/OCR; compare duplicate copy rows,,,,,
vestnik_spaseniia_issue_grid_v104,Vestnik Spaseniia,1964-1975 selected issue grid,corpus_issue_grid_enriched,issue list only,"Master page lists 1964 no.1; 1965 no.1(9), no.2(10), no.4(12); 1966 no.1(13); 1967 no.1(17), no.3(19), no.4(20); 1968 no.1(21), no.3(23); 1970 no.3(31), no.4(32); 1972 no.1(37), no.2(38); 1974 no.1-2(45-46), no.4(48); 1975 no.1-2(49-50), no.3-4(51-52)",Toronto Samizdat master page,Open individual item pages and upgrade to holdings/page where possible,,,,,
biulleten_sru_issue_grid_v104,Biulleten SRY,1971-1985 visible master-grid,issue_grid_enriched,issue list only,"Master page visible rows from 1971 no.1 through 1980 no.86, plus 1984 no.119-125, 1985 no.126-127, and combined 1975 no.21-22 / no.24-25",Toronto Samizdat master page,Turn visible grid into normalized issue census; do not infer missing 1981-1983 from this view,,,,,
brat_osa_crosscheck_v104,BRATSKII LISTOK,OSA archive crosscheck for selected 1970-1975 issues,archive_crosscheck_verified,no page-count,OSA page confirms many Bratskii Listok links: 1970 no.1/2/3-4/6-7/9-10; 1971 no.1/7-8/9-10/11-12; 1974 no.1/2/3/6; 1975 no.1-3/2/4,Toronto Samizdat OSA source page,Use OSA pointers for request list; still needs item pages and page-counts,,,,,
,Вестник Спасения,Вестник Спасения 1965 №1(9),holdings_page_verified,41,"Baylor/Keston; Folder SU/Ini VS S (1/1965); hectograph of manuscript, plus Western reproduction copy without page count",,,v105-01,1965.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1965-no-19,"Закрыто до holding/page, но не quote-ready.",v105
,Вестник Спасения,Вестник Спасения 1967 №1(17),holdings_page_verified_with_variant,40 / copy row 20+40,Baylor/Keston; one Western reproduction copy 20 pp.; one mimeograph copy 40 pp.,,,v105-02,1967.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1967-no-117,"Вариант страниц сохранён: карточка 40, одна копия 20, другая 40.",v105
,Вестник Спасения,Вестник Спасения 1968 №1(21),holdings_page_verified,36,Baylor/Keston; Folder SU/Ini VS S (1/1968); hectograph of typescript,,,v105-03,1968.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1968-no-121,"Закрыто до holding/page, не quote-ready.",v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №65,holdings_page_verified_with_duplicate_copy,44,"Baylor/Keston; two Western reproduction photocopy rows, 44 pp. each",,,v105-04,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-65,"Две копии №65/№65a, обе 44 стр.",v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №66,holdings_page_verified,44,Baylor/Keston; Western reproduction photocopy of typescript,,,v105-05,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-66,Закрыто до holding/page.,v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №67,holdings_page_verified,56,Baylor/Keston; Western reproduction photocopy of typescript,,,v105-06,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-67,Закрыто до holding/page.,v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №68,holdings_page_verified,66,Baylor/Keston; Western reproduction photocopy of typescript,,,v105-07,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-68,Закрыто до holding/page.,v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №69,holdings_page_verified,44,Baylor/Keston; Western reproduction photocopy of typescript,,,v105-08,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-69,Закрыто до holding/page.,v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №70,holdings_page_verified,34,Baylor/Keston; Western reproduction photocopy of typescript,,,v105-09,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-70,Закрыто до holding/page.,v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №71,holdings_page_verified_with_duplicate_copy,38,"Baylor/Keston; typescript + Western reproduction copy, both 38 pp.",,,v105-10,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-71,"Две копии 71/71a, обе 38 стр.",v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №72,holdings_page_verified_with_duplicate_copy,38,"Baylor/Keston; typescript + Western reproduction copy, both 38 pp.",,,v105-11,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-72,"Две копии 72/72a, обе 38 стр.",v105
,Бюллетень СРУ,Бюллетень СРУ 1979 №73,holdings_page_verified_with_duplicate_copy,40,"Baylor/Keston; typescript + Western reproduction copy, both 40 pp.",,,v105-12,1979.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1979-no-73,"Две копии 73/73a, обе 40 стр.",v105
,Бюллетень СРУ,Бюллетень СРУ 1980 №74,holdings_page_verified,54,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (74); typescript,,,v105-13,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-74,Закрыто до holding/page.,v105
,Вестник Спасения,Вестник Спасения 1967 №3(19),holdings_page_verified,54,Baylor/Keston; Folder SU/Ini VS S (3a/1967); OSA AS 803; photocopy of hectograph / mimeograph of typescript,,,v106-01,1967.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1967-no-319,Карточка Toronto даёт pages=54 и две holding rows; quote-ready не ставится без локального файла/OCR.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №75,holdings_page_verified,54,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (75); typescript,,,v106-02,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-75,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №76,holdings_page_verified,44,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (76); typescript,,,v106-03,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-76,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №77,holdings_page_verified,52,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (77); typescript,,,v106-04,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-77,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №78,holdings_page_verified,50,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (78); typescript,,,v106-05,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-78,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №79,holdings_page_verified,58,Baylor/Keston; Folder SU/Ini 11/10.5 S CPR Bulletins 1980 (79); typescript,,,v106-06,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-79,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №82,holdings_page_verified,58,"Baylor/Keston; Folder SU/Ini 11/10.5 Bulletins S 1974-1976, 1980 2 of 3 №82; Western reproduction, photocopy of typescript",,,v106-07,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-82,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №84,holdings_copy_page_verified,60,"Baylor/Keston; Folder SU/Ini 11/10.5 Bulletins S 1974-1976, 1980 3 of 3 №84; Western reproduction, photocopy of manuscript",,,v106-08,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-84,"В item-card нет отдельного поля Pages, но copy-row даёт 60 страниц; статус ниже обычного page_verified, но уже page/copy verified.",v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №85,holdings_page_verified,50,"Baylor/Keston; Folder SU/Ini 11/10.5 Bulletins S 1974-1976, 1980 3 of 3 №85; Western reproduction, photocopy of typescript",,,v106-09,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-85,Закрыто до holding/page.,v106
,Бюллетень СРУ,Бюллетень СРУ 1980 №86,holdings_page_verified,42,"Baylor/Keston; Folder SU/Ini 11/10.5 Bulletins S 1974-1976, 1980 3 of 3 №86; Western reproduction, photocopy of typescript",,,v106-10,1980.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1980-no-86,Закрыто до holding/page.,v106
vestnik_spaseniia_1965_02_10,Vestnik Spaseniia,1965 no. 2 (10),holdings_verified_no_page_count,—,Baylor/Keston,Toronto Samizdat,Acquire scan or alternate catalog row with page count; then OCR/visual check,,1965.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1965-no-210,Item card and Baylor/Keston copy row verified; no page count visible in current card.,v107
vestnik_spaseniia_1965_04_12,Vestnik Spaseniia,1965 no. 4 (12),item_designation_with_SDSA_note,—,—,Toronto Samizdat,Find holding/page-count via SDSA/Keston/OSA route; then scan/OCR,,1965.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1965-no-412,"Issue designation verified; notes mention SDSA 19 and SDSA 14 title, but no page/holding row in current card.",v107
vestnik_spaseniia_1966_01_13,Vestnik Spaseniia,1966 no. 1 (13),holdings_page_verified,36,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1966.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1966-no-113,Pages=36 and Baylor/Keston copy row verified.,v107
vestnik_spaseniia_1967_04_20,Vestnik Spaseniia,1967 no. 4 (20),holdings_page_verified_with_archive_crosscheck,43,Baylor/Keston + OSA AS 804,Toronto Samizdat,Acquire local scan/OCR/visual check; compare Baylor/Keston vs OSA copy if possible,,1967.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1967-no-420,Pages=43; Baylor/Keston row and OSA AS 804 row visible.,v107
vestnik_spaseniia_1968_03_23,Vestnik Spaseniia,1968 no. 3 (23),holdings_page_verified,40,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1968.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1968-no-323,Pages=40 and Baylor/Keston copy row verified.,v107
vestnik_spaseniia_1972_02_38,Vestnik Spaseniia,1972 no. 2 (38),holdings_page_verified_with_copy_variant,37 plus no-page copy row,Baylor/Keston,Toronto Samizdat,Clarify 2/1972 vs 2a/1972 copy; acquire scan/OCR,,1972.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1972-no-238,Item Pages=37 and copy row pages=37; extra 2a/1972 row without page count.,v107
vestnik_spaseniia_1970_03_31,Vestnik Spaseniia,1970 no. 3 (31),item_designation_with_SDSA_note,—,—,Toronto Samizdat,Find holding/page-count; likely via SDSA 19/15 references,,1970.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1970-no-331,"Issue designation verified; notes mention SDSA 19 and SDSA 15 title, but no pages visible.",v107
vestnik_spaseniia_1970_04_32,Vestnik Spaseniia,1970 no. 4 (32),item_designation_with_SDSA_note,—,—,Toronto Samizdat,Find holding/page-count; likely via SDSA 19/15 references,,1970.0,https://samizdat.library.utoronto.ca/content/vestnik-spaseniia-dukhovno-nazidatelnyi-zhurnal-evangelskih-khristian-baptistov-1970-no-432,"Issue designation verified; notes mention SDSA 19 and SDSA 15 title/contents, but no pages visible.",v107
bratskii_listok_1971_02_03,BRATSKII LISTOK,1971 no. 2-3,item_designation_verified,—,—,Toronto Samizdat,Find holding/page-count via Toronto linked sources or OSA/SDSA/Keston route,,1971.0,https://samizdat.library.utoronto.ca/content/bratskii-listok-1971-no-2-3,Card confirms year and issue no. 2-3; no page/holding row visible in retrieved card.,v107
sru_bulletin_1976_30,Biulleten Sru,1976 no. 30,holdings_page_verified,68,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-30,Pages=68; copy row confirms 68 pp.; Western reproduction / photocopy of hectograph manuscript.,v108
sru_bulletin_1976_31,Biulleten Sru,1976 no. 31,holdings_page_verified_with_duplicate_copy,34,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check; compare duplicate copy rows,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-31,"Pages=34; two Baylor/Keston copy rows, both 34 pp.",v108
sru_bulletin_1976_32,Biulleten Sru,1976 no. 32,holdings_page_verified_with_variant,58; copies 56/58/60,Bremen + Baylor/Keston,Toronto Samizdat,Acquire local scans; compare Bremen 56 pp vs Keston 58/60 pp variants,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-32,"Item Pages=58; copy rows show 56, 58, and 60 pp. Do not flatten variant.",v108
sru_bulletin_1976_33,Biulleten Sru,1976 no. 33,holdings_page_verified,66,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-33,Pages=66; copy row confirms 66 pp.,v108
sru_bulletin_1976_34,Biulleten Sru,1976 no. 34,holdings_page_verified_with_variant,54; copies 54/36,Bremen + Baylor/Keston,Toronto Samizdat,Acquire local scans; compare Bremen 54 pp and Keston 36 pp copy variant,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-34,Item Pages=54; copy rows 54 (Bremen) and 36 (Keston). Variant preserved.,v108
sru_bulletin_1976_35,Biulleten Sru,1976 no. 35,holdings_page_verified,50,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-35,Pages=50; copy row confirms 50 pp.,v108
sru_bulletin_1976_36,Biulleten Sru,1976 no. 36,holdings_page_verified_with_variant_and_osa,24; Keston copies 50/50,OSA AS2721 + Baylor/Keston,Toronto Samizdat,Acquire local scans; compare OSA 24 pp vs Keston 50 pp copies,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-36,"Item Pages=24; OSA AS2721 24 pp, Keston rows 50/50 pp. Major variant must remain flagged.",v108
sru_bulletin_1976_37,Biulleten Sru,1976 no. 37,holdings_page_verified_with_variant,60; copies 16/60/60/41,Belousovitch + Baylor/Keston,Toronto Samizdat,"Acquire local scans; variant-heavy issue, compare copies before quoting",,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-37,"Item Pages=60; copy rows show 16, 60, 60, 41 pp.",v108
sru_bulletin_1976_38,Biulleten Sru,1976 no. 38,holdings_page_verified_with_duplicate_copy,60,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check; compare 38 and 38a,,1976.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1976-no-38,"Pages=60; two Baylor/Keston rows, both 60 pp.",v108
sru_bulletin_1977_39,Biulleten Sru,1977 no. 39,holdings_page_verified_with_duplicate_copy,50,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check; compare duplicate rows,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-39,"Pages=50; two Baylor/Keston copy rows, both 50 pp.",v108
sru_bulletin_1977_40,Biulleten Sru,1977 no. 40,holdings_page_verified,54,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-40,Pages=54; copy row confirms 54 pp.,v108
sru_bulletin_1977_41,Biulleten Sru,1977 no. 41,holdings_page_verified,60,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-41,Pages=60; copy row confirms 60 pp.,v108
biulleten_sru_1977_42,Biulleten SRY,1977 no. 42,holdings_page_verified_with_variant,76 item; copy rows 78 / 76,Hoover NTS + Baylor/Keston,Toronto Samizdat,Acquire local scans; compare 78 vs 76 before OCR/quote-card,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-42,Item page gives Pages=76; copy rows preserve 78-page Hoover/NTS and 76-page Baylor/Keston variants,v109
biulleten_sru_1977_43,Biulleten SRY,1977 no. 43,holdings_page_verified_with_variant,27 item; copy rows 27 / 46,Baylor/Keston,Toronto Samizdat,Acquire local scans; compare 27 vs 46 before OCR/quote-card,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-43,Item page gives Pages=27; Baylor/Keston has 27-page typescript and 46-page hectograph manuscript copy rows,v109
biulleten_sru_1977_44,Biulleten SRY,1977 no. 44,holdings_page_verified,88,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-44,Pages=88; two Baylor/Keston copy rows both 88 pages,v109
biulleten_sru_1977_45,Biulleten SRY,1977 no. 45,holdings_page_verified,68,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-45,Pages=68; Baylor/Keston copy row 68 pages,v109
biulleten_sru_1977_46,Biulleten SRY,1977 no. 46,holdings_page_verified_with_variant,40 item; copy row 50,Baylor/Keston,Toronto Samizdat,Acquire local scan; resolve 40 vs 50 before OCR/quote-card,,1977.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1977-no-46,Item page gives Pages=40; Baylor/Keston copy row lists 50 pages,v109
biulleten_sru_1978_47,Biulleten SRY,1978 no. 47,holdings_page_verified,30,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1978.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1978-no-47,Pages=30; two Baylor/Keston copy rows both 30 pages,v109
biulleten_sru_1978_49,Biulleten SRY,1978 no. 49,holdings_page_verified,42,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1978.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1978-no-49,Pages=42; Baylor/Keston copy row 42 pages,v109
sru_bulletin_1978_52,Biulleten Sru,1978 no. 52,holdings_page_verified,30,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1978.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1978-no-52,"Pages=30; copy row confirms Baylor/Keston SU/Ini 11/10 Bulletin S 1978 2 of 3 no.52 as Western reproduction / photocopy of typescript, 30 pp.",v110
sru_bulletin_1978_53,Biulleten Sru,1978 no. 53,holdings_page_verified,48,Baylor/Keston,Toronto Samizdat,Acquire local scan/OCR/visual check,,1978.0,https://samizdat.library.utoronto.ca/content/biulleten-soveta-rodstvennikov-uznikov-evangelskikh-khristian-baptistov-sssr-1978-no-53,"Pages=48; copy row confirms Baylor/Keston SU/Ini 11/10 Bulletin S 1978 2 of 3 no.53 as Western reproduction / photocopy of typescript, 48 pp.",v110
